Identifier;Email;Country;Custom1;bool30TrueAdvancedRules;boolDefaultFalse;boolDefaultTrue;double25Pi25E25Gr25Zero;doubleDefaultPi;integer25One25Two25Three25FourAdvancedRules;integerDefaultOne;string25Cat25Dog25Falcon25Horse;string25Cat25Dog25Falcon25HorseAdvancedRules;string75Cat0Dog25Falcon0Horse;stringContainsDogDefaultCat;stringDefaultCat;stringIsInDogDefaultCat;stringIsNotInDogDefaultCat;stringNotContainsDogDefaultCat
grdschl@att.net;grdschl@att.net;;;False;False;True;3.1415;3.1415;2;1;Falcon;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
jgwang@hotmail.com;jgwang@hotmail.com;;;False;False;True;1.61803;3.1415;1;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
stevelim@verizon.net;stevelim@verizon.net;;;False;False;True;1.61803;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
weidai@hotmail.com;weidai@hotmail.com;;;False;False;True;1.61803;3.1415;3;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
dpitts@live.com;dpitts@live.com;;;True;False;True;2.7182;3.1415;1;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
bebing@optonline.net;bebing@optonline.net;;;True;False;True;0.0;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
wikinerd@yahoo.com;wikinerd@yahoo.com;;;False;False;True;0.0;3.1415;3;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
pfitza@yahoo.com;pfitza@yahoo.com;;;False;False;True;0.0;3.1415;2;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
policies@me.com;policies@me.com;;;False;False;True;0.0;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
niknejad@me.com;niknejad@me.com;;;False;False;True;3.1415;3.1415;3;1;Cat;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
aukjan@hotmail.com;aukjan@hotmail.com;;;False;False;True;0.0;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
dleconte@sbcglobal.net;dleconte@sbcglobal.net;;;False;False;True;3.1415;3.1415;2;1;Cat;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
noahb@aol.com;noahb@aol.com;;;False;False;True;1.61803;3.1415;4;1;Dog;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
bdbrown@aol.com;bdbrown@aol.com;;;True;False;True;3.1415;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
adillon@att.net;adillon@att.net;;;True;False;True;3.1415;3.1415;3;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
eegsa@me.com;eegsa@me.com;;;True;False;True;1.61803;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
chunzi@hotmail.com;chunzi@hotmail.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
privcan@optonline.net;privcan@optonline.net;;;False;False;True;0.0;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
mglee@hotmail.com;mglee@hotmail.com;;;False;False;True;0.0;3.1415;3;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
leocharre@me.com;leocharre@me.com;;;False;False;True;2.7182;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
dwendlan@verizon.net;dwendlan@verizon.net;;;False;False;True;2.7182;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
lpalmer@hotmail.com;lpalmer@hotmail.com;;;False;False;True;3.1415;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
emcleod@msn.com;emcleod@msn.com;;;False;False;True;2.7182;3.1415;2;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
breegster@sbcglobal.net;breegster@sbcglobal.net;;;True;False;True;0.0;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
mwandel@comcast.net;mwandel@comcast.net;;;False;False;True;1.61803;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
stewwy@me.com;stewwy@me.com;;;True;False;True;2.7182;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
drolsky@live.com;drolsky@live.com;;;False;False;True;3.1415;3.1415;2;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
lukka@live.com;lukka@live.com;;;False;False;True;0.0;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
geekgrl@me.com;geekgrl@me.com;;;False;False;True;0.0;3.1415;2;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
epeeist@me.com;epeeist@me.com;;;False;False;True;2.7182;3.1415;2;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
papathan@verizon.net;papathan@verizon.net;;;True;False;True;1.61803;3.1415;2;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
singh@optonline.net;singh@optonline.net;;;True;False;True;1.61803;3.1415;2;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
njpayne@aol.com;njpayne@aol.com;;;True;False;True;0.0;3.1415;4;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
willg@comcast.net;willg@comcast.net;;;True;False;True;0.0;3.1415;4;1;Dog;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
jimmichie@icloud.com;jimmichie@icloud.com;;;True;False;True;3.1415;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
frosal@aol.com;frosal@aol.com;;;False;False;True;3.1415;3.1415;1;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
dunstan@yahoo.com;dunstan@yahoo.com;;;False;False;True;1.61803;3.1415;3;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
parasite@yahoo.ca;parasite@yahoo.ca;;;False;False;True;0.0;3.1415;1;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
firstpr@msn.com;firstpr@msn.com;;;True;False;True;1.61803;3.1415;4;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
konit@icloud.com;konit@icloud.com;;;True;False;True;1.61803;3.1415;4;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
amaranth@msn.com;amaranth@msn.com;;;False;False;True;2.7182;3.1415;3;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
mcsporran@msn.com;mcsporran@msn.com;;;False;False;True;2.7182;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
gommix@yahoo.ca;gommix@yahoo.ca;;;False;False;True;3.1415;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
dprice@verizon.net;dprice@verizon.net;;;True;False;True;2.7182;3.1415;3;1;Falcon;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
lcheng@me.com;lcheng@me.com;;;True;False;True;0.0;3.1415;4;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
dwendlan@optonline.net;dwendlan@optonline.net;;;False;False;True;2.7182;3.1415;4;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
miami@hotmail.com;miami@hotmail.com;;;False;False;True;2.7182;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ajlitt@hotmail.com;ajlitt@hotmail.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
grdschl@mac.com;grdschl@mac.com;;;False;False;True;0.0;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
andersbr@att.net;andersbr@att.net;;;False;False;True;1.61803;3.1415;3;1;Falcon;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
nacho@yahoo.com;nacho@yahoo.com;;;True;False;True;3.1415;3.1415;2;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
hoangle@msn.com;hoangle@msn.com;;;False;False;True;3.1415;3.1415;1;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
jbuchana@gmail.com;jbuchana@gmail.com;;;False;False;True;2.7182;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
knorr@sbcglobal.net;knorr@sbcglobal.net;;;False;False;True;0.0;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
saridder@gmail.com;saridder@gmail.com;;;False;False;True;3.1415;3.1415;3;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
scotfl@outlook.com;scotfl@outlook.com;;;False;False;True;2.7182;3.1415;2;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
skoch@yahoo.ca;skoch@yahoo.ca;;;False;False;True;0.0;3.1415;3;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
luebke@verizon.net;luebke@verizon.net;;;False;False;True;2.7182;3.1415;3;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
bsikdar@live.com;bsikdar@live.com;;;True;False;True;0.0;3.1415;1;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ryanvm@yahoo.ca;ryanvm@yahoo.ca;;;True;False;True;0.0;3.1415;3;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
dburrows@gmail.com;dburrows@gmail.com;;;True;False;True;0.0;3.1415;3;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
seebs@hotmail.com;seebs@hotmail.com;;;False;False;True;0.0;3.1415;2;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mgemmons@optonline.net;mgemmons@optonline.net;;;False;False;True;1.61803;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
kobayasi@att.net;kobayasi@att.net;;;False;False;True;3.1415;3.1415;1;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
marcs@sbcglobal.net;marcs@sbcglobal.net;;;True;False;True;2.7182;3.1415;3;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
netsfr@att.net;netsfr@att.net;;;False;False;True;1.61803;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
martink@me.com;martink@me.com;;;True;False;True;2.7182;3.1415;1;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
bflong@verizon.net;bflong@verizon.net;;;True;False;True;2.7182;3.1415;4;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
bhima@outlook.com;bhima@outlook.com;;;False;False;True;1.61803;3.1415;1;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
oster@att.net;oster@att.net;;;False;False;True;2.7182;3.1415;1;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
teverett@yahoo.com;teverett@yahoo.com;;;True;False;True;3.1415;3.1415;4;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
kannan@optonline.net;kannan@optonline.net;;;False;False;True;2.7182;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
yzheng@verizon.net;yzheng@verizon.net;;;True;False;True;0.0;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
msusa@gmail.com;msusa@gmail.com;;;False;False;True;3.1415;3.1415;1;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
hmbrand@gmail.com;hmbrand@gmail.com;;;False;False;True;3.1415;3.1415;4;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
falcao@gmail.com;falcao@gmail.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
uraeus@live.com;uraeus@live.com;;;False;False;True;1.61803;3.1415;4;1;Horse;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
dunstan@msn.com;dunstan@msn.com;;;False;False;True;0.0;3.1415;4;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
oracle@yahoo.ca;oracle@yahoo.ca;;;False;False;True;1.61803;3.1415;2;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
tbeck@gmail.com;tbeck@gmail.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
scottzed@comcast.net;scottzed@comcast.net;;;True;False;True;2.7182;3.1415;4;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
sblack@me.com;sblack@me.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
yenya@msn.com;yenya@msn.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
bjoern@icloud.com;bjoern@icloud.com;;;False;False;True;3.1415;3.1415;4;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
benanov@aol.com;benanov@aol.com;;;False;False;True;2.7182;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
preneel@outlook.com;preneel@outlook.com;;;False;False;True;2.7182;3.1415;4;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
punkis@sbcglobal.net;punkis@sbcglobal.net;;;False;False;True;0.0;3.1415;2;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
rwelty@comcast.net;rwelty@comcast.net;;;True;False;True;1.61803;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
penna@me.com;penna@me.com;;;False;False;True;0.0;3.1415;1;1;Falcon;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
baveja@msn.com;baveja@msn.com;;;True;False;True;3.1415;3.1415;4;1;Horse;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
louise@verizon.net;louise@verizon.net;;;True;False;True;0.0;3.1415;4;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
arachne@icloud.com;arachne@icloud.com;;;True;False;True;0.0;3.1415;2;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
hahiss@msn.com;hahiss@msn.com;;;False;False;True;2.7182;3.1415;2;1;Horse;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
wayward@optonline.net;wayward@optonline.net;;;True;False;True;2.7182;3.1415;2;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
pajas@sbcglobal.net;pajas@sbcglobal.net;;;False;False;True;1.61803;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
intlprog@comcast.net;intlprog@comcast.net;;;False;False;True;1.61803;3.1415;4;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
hermanab@sbcglobal.net;hermanab@sbcglobal.net;;;True;False;True;2.7182;3.1415;4;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
presoff@msn.com;presoff@msn.com;;;False;False;True;0.0;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
trygstad@mac.com;trygstad@mac.com;;;False;False;True;1.61803;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
denton@optonline.net;denton@optonline.net;;;True;False;True;3.1415;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
skythe@live.com;skythe@live.com;;;False;False;True;1.61803;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
hmbrand@gmail.com;hmbrand@gmail.com;;;False;False;True;3.1415;3.1415;4;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
lushe@sbcglobal.net;lushe@sbcglobal.net;;;True;False;True;2.7182;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
magusnet@outlook.com;magusnet@outlook.com;;;False;False;True;0.0;3.1415;2;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ullman@optonline.net;ullman@optonline.net;;;False;False;True;3.1415;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
jyoliver@optonline.net;jyoliver@optonline.net;;;False;False;True;2.7182;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
flavell@icloud.com;flavell@icloud.com;;;False;False;True;2.7182;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ianbuck@att.net;ianbuck@att.net;;;False;False;True;0.0;3.1415;2;1;Dog;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
satch@mac.com;satch@mac.com;;;False;False;True;1.61803;3.1415;3;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
gommix@sbcglobal.net;gommix@sbcglobal.net;;;True;False;True;2.7182;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
rnelson@att.net;rnelson@att.net;;;False;False;True;1.61803;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
crusader@gmail.com;crusader@gmail.com;;;False;False;True;3.1415;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
rddesign@sbcglobal.net;rddesign@sbcglobal.net;;;True;False;True;1.61803;3.1415;4;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
nanop@mac.com;nanop@mac.com;;;False;False;True;2.7182;3.1415;2;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ngedmond@live.com;ngedmond@live.com;;;False;False;True;2.7182;3.1415;1;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
munjal@live.com;munjal@live.com;;;False;False;True;1.61803;3.1415;1;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
unreal@aol.com;unreal@aol.com;;;False;False;True;1.61803;3.1415;1;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
jemarch@sbcglobal.net;jemarch@sbcglobal.net;;;True;False;True;0.0;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
shawnce@sbcglobal.net;shawnce@sbcglobal.net;;;False;False;True;3.1415;3.1415;3;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
nweaver@yahoo.com;nweaver@yahoo.com;;;False;False;True;2.7182;3.1415;4;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
british@verizon.net;british@verizon.net;;;False;False;True;2.7182;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
ccohen@verizon.net;ccohen@verizon.net;;;False;False;True;3.1415;3.1415;3;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
amaranth@aol.com;amaranth@aol.com;;;True;False;True;1.61803;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
louise@comcast.net;louise@comcast.net;;;True;False;True;0.0;3.1415;3;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
atmarks@optonline.net;atmarks@optonline.net;;;False;False;True;3.1415;3.1415;1;1;Dog;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
iamcal@icloud.com;iamcal@icloud.com;;;False;False;True;0.0;3.1415;2;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
snunez@msn.com;snunez@msn.com;;;True;False;True;0.0;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
mrobshaw@optonline.net;mrobshaw@optonline.net;;;True;False;True;1.61803;3.1415;4;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
denton@yahoo.com;denton@yahoo.com;;;False;False;True;2.7182;3.1415;2;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
konst@mac.com;konst@mac.com;;;True;False;True;0.0;3.1415;1;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
louise@aol.com;louise@aol.com;;;False;False;True;0.0;3.1415;1;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
wetter@gmail.com;wetter@gmail.com;;;True;False;True;1.61803;3.1415;2;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
kohlis@att.net;kohlis@att.net;;;False;False;True;0.0;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
monkeydo@aol.com;monkeydo@aol.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
melnik@yahoo.com;melnik@yahoo.com;;;False;False;True;0.0;3.1415;1;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
munge@verizon.net;munge@verizon.net;;;False;False;True;1.61803;3.1415;3;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
stefano@live.com;stefano@live.com;;;False;False;True;2.7182;3.1415;1;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
giafly@verizon.net;giafly@verizon.net;;;False;False;True;0.0;3.1415;3;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
gbacon@verizon.net;gbacon@verizon.net;;;False;False;True;3.1415;3.1415;4;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
dgriffith@yahoo.ca;dgriffith@yahoo.ca;;;False;False;True;0.0;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
dkrishna@icloud.com;dkrishna@icloud.com;;;False;False;True;1.61803;3.1415;1;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
firstpr@yahoo.com;firstpr@yahoo.com;;;False;False;True;1.61803;3.1415;4;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
nichoj@comcast.net;nichoj@comcast.net;;;False;False;True;1.61803;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
aibrahim@optonline.net;aibrahim@optonline.net;;;False;False;True;3.1415;3.1415;1;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
inico@aol.com;inico@aol.com;;;False;False;True;1.61803;3.1415;2;1;Falcon;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
ribet@sbcglobal.net;ribet@sbcglobal.net;;;False;False;True;0.0;3.1415;1;1;Dog;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
ajlitt@mac.com;ajlitt@mac.com;;;False;False;True;0.0;3.1415;1;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
errxn@me.com;errxn@me.com;;;False;False;True;1.61803;3.1415;3;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
lstein@icloud.com;lstein@icloud.com;;;False;False;True;3.1415;3.1415;4;1;Dog;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
mgemmons@icloud.com;mgemmons@icloud.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
jadavis@hotmail.com;jadavis@hotmail.com;;;True;False;True;3.1415;3.1415;3;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
zilla@hotmail.com;zilla@hotmail.com;;;False;False;True;3.1415;3.1415;1;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
bogjobber@att.net;bogjobber@att.net;;;True;False;True;2.7182;3.1415;3;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
shazow@comcast.net;shazow@comcast.net;;;False;False;True;2.7182;3.1415;1;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
rgarton@sbcglobal.net;rgarton@sbcglobal.net;;;True;False;True;0.0;3.1415;4;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
meder@me.com;meder@me.com;;;True;False;True;3.1415;3.1415;2;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
hedwig@msn.com;hedwig@msn.com;;;False;False;True;0.0;3.1415;3;1;Falcon;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
dhwon@yahoo.com;dhwon@yahoo.com;;;True;False;True;3.1415;3.1415;2;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
mstrout@msn.com;mstrout@msn.com;;;True;False;True;2.7182;3.1415;4;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
manuals@me.com;manuals@me.com;;;True;False;True;2.7182;3.1415;4;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
andrewik@me.com;andrewik@me.com;;;True;False;True;2.7182;3.1415;3;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
hahsler@icloud.com;hahsler@icloud.com;;;False;False;True;0.0;3.1415;1;1;Dog;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
miami@verizon.net;miami@verizon.net;;;True;False;True;0.0;3.1415;3;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
facet@me.com;facet@me.com;;;False;False;True;2.7182;3.1415;3;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
zeitlin@outlook.com;zeitlin@outlook.com;;;False;False;True;1.61803;3.1415;2;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
lamprecht@aol.com;lamprecht@aol.com;;;True;False;True;3.1415;3.1415;1;1;Cat;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
johnh@mac.com;johnh@mac.com;;;False;False;True;0.0;3.1415;1;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
mrsam@yahoo.ca;mrsam@yahoo.ca;;;True;False;True;0.0;3.1415;4;1;Falcon;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
lipeng@outlook.com;lipeng@outlook.com;;;False;False;True;0.0;3.1415;1;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
dsowsy@icloud.com;dsowsy@icloud.com;;;True;False;True;1.61803;3.1415;3;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
philen@icloud.com;philen@icloud.com;;;False;False;True;1.61803;3.1415;1;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
kjohnson@gmail.com;kjohnson@gmail.com;;;False;False;True;2.7182;3.1415;2;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
nelson@hotmail.com;nelson@hotmail.com;;;True;False;True;1.61803;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
syncnine@comcast.net;syncnine@comcast.net;;;True;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
pgottsch@hotmail.com;pgottsch@hotmail.com;;;False;False;True;1.61803;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
jfmulder@yahoo.com;jfmulder@yahoo.com;;;True;False;True;2.7182;3.1415;4;1;Dog;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
jacks@yahoo.ca;jacks@yahoo.ca;;;False;False;True;0.0;3.1415;2;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
mrdvt@outlook.com;mrdvt@outlook.com;;;True;False;True;2.7182;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
cfhsoft@outlook.com;cfhsoft@outlook.com;;;False;False;True;2.7182;3.1415;2;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
kodeman@yahoo.com;kodeman@yahoo.com;;;True;False;True;1.61803;3.1415;3;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
mbrown@comcast.net;mbrown@comcast.net;;;False;False;True;3.1415;3.1415;2;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
jaxweb@hotmail.com;jaxweb@hotmail.com;;;False;False;True;1.61803;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
